person_age,person_gender,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,person_education_Associate,person_education_Bachelor,person_education_Doctorate,person_education_High School,person_education_Master,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,emp_exp_ratio,credit_score_per_year,high_risk_flag,age_bin,edu_income_interaction,true_label,prediction,interpretability
31.0,0,26928.0,9,8909.0,9.79,0.33,5.0,665,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.28125,110.83333333333333,0,1,0.0,1,1,previous_loan_defaults_on_file <= 0.500 → loan_percent_income > 0.371 → person_home_ownership_RENT > 0.500 → loan_percent_income > 0.386
22.0,0,37155.0,1,5000.0,11.12,0.13,2.0,537,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.043478260869565216,179.0,1,0,0.0,0,0,previous_loan_defaults_on_file > 0.500
21.0,0,19418.0,0,1600.0,12.69,0.08,2.0,630,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,210.0,0,0,0.0,0,0,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate <= 0.588 → person_income <= 0.007 → loan_percent_income <= 0.189 → credit_score <= 0.665 → loan_percent_income <= 0.174 → person_income <= 0.006 → credit_score > 0.459 → credit_score_per_year > 0.391
27.0,0,49278.0,5,2400.0,6.58,0.05,6.0,635,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.17857142857142858,90.71428571428571,0,1,49278.0,0,0,previous_loan_defaults_on_file > 0.500
25.0,0,41456.0,2,10000.0,11.66,0.24,6.0,618,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.07692307692307693,88.28571428571429,1,0,41456.0,0,0,previous_loan_defaults_on_file > 0.500
28.0,0,51750.0,3,6000.0,5.42,0.12,9.0,699,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.10344827586206896,69.9,0,1,0.0,0,0,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate <= 0.588 → person_income > 0.007 → loan_int_rate <= 0.383 → person_income > 0.016 → loan_intent_VENTURE <= 0.500 → person_income <= 0.027 → credit_score > 0.588 → person_income <= 0.026
22.0,0,47831.0,0,5325.0,14.59,0.11,3.0,570,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,142.5,0,0,0.0,0,0,previous_loan_defaults_on_file > 0.500
27.0,1,75601.0,6,3275.0,9.33,0.04,8.0,657,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.21428571428571427,73.0,0,1,0.0,0,0,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate <= 0.588 → person_income > 0.007 → loan_int_rate <= 0.383 → person_income > 0.016 → loan_intent_VENTURE <= 0.500 → person_income > 0.027 → person_income <= 0.270 → credit_score > 0.277
31.0,1,104135.0,9,5000.0,10.72,0.05,8.0,548,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.28125,60.888888888888886,0,1,104135.0,0,0,previous_loan_defaults_on_file > 0.500
23.0,0,175323.0,0,20800.0,11.83,0.12,4.0,504,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,100.8,0,0,0.0,0,0,previous_loan_defaults_on_file > 0.500
39.0,0,37120.0,16,7200.0,14.96,0.19,11.0,682,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.4,56.833333333333336,1,2,0.0,1,1,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate > 0.588 → person_home_ownership_OWN <= 0.500 → loan_int_rate > 0.645 → person_income <= 0.026 → loan_intent_EDUCATION <= 0.500 → loan_intent_VENTURE <= 0.500 → loan_intent_PERSONAL <= 0.500 → age_bin <= 0.875
29.0,1,101386.0,7,5900.0,7.66,0.06,9.0,646,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.23333333333333334,64.6,0,1,0.0,0,0,previous_loan_defaults_on_file > 0.500
25.0,1,52690.0,1,16000.0,11.49,0.3,2.0,677,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.038461538461538464,225.66666666666666,1,0,0.0,1,1,previous_loan_defaults_on_file <= 0.500 → loan_percent_income > 0.371 → person_home_ownership_RENT > 0.500 → loan_percent_income > 0.386
30.0,1,72613.0,8,15000.0,15.31,0.21,9.0,579,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.25806451612903225,57.9,1,1,0.0,0,0,previous_loan_defaults_on_file > 0.500
23.0,0,94286.0,1,10000.0,6.62,0.11,2.0,663,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.041666666666666664,221.0,0,0,94286.0,0,0,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate <= 0.588 → person_income > 0.007 → loan_int_rate <= 0.383 → person_income > 0.016 → loan_intent_VENTURE <= 0.500 → person_income > 0.027 → person_income <= 0.270 → credit_score > 0.277
26.0,1,38374.0,7,2500.0,10.37,0.07,3.0,634,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.25925925925925924,158.5,0,1,0.0,0,0,previous_loan_defaults_on_file > 0.500
32.0,1,128134.0,11,25000.0,16.63,0.2,7.0,577,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.3333333333333333,72.125,1,1,0.0,1,0,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate > 0.588 → person_home_ownership_OWN <= 0.500 → loan_int_rate > 0.645 → person_income > 0.026 → loan_intent_DEBTCONSOLIDATION > 0.500 → cb_person_cred_hist_length <= 0.911 → person_income > 0.047 → person_income <= 0.050
25.0,0,47051.0,5,2110.0,10.41,0.04,3.0,663,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.19230769230769232,165.75,0,0,0.0,0,0,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate <= 0.588 → person_income > 0.007 → loan_int_rate <= 0.383 → person_income <= 0.016 → loan_intent_HOMEIMPROVEMENT <= 0.500 → credit_score > 0.582 → loan_intent_VENTURE > 0.500
45.0,1,43611.0,24,10000.0,10.25,0.23,15.0,646,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.5217391304347826,40.375,0,2,0.0,0,0,previous_loan_defaults_on_file > 0.500
40.0,1,115858.0,18,15000.0,12.18,0.13,14.0,704,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.43902439024390244,46.93333333333333,1,2,115858.0,0,0,previous_loan_defaults_on_file > 0.500
21.0,0,28367.0,0,15000.0,8.94,0.53,2.0,600,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,200.0,0,0,0.0,0,0,previous_loan_defaults_on_file > 0.500
28.0,0,65713.0,5,2000.0,14.42,0.03,7.0,576,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.1724137931034483,72.0,0,1,0.0,1,1,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate > 0.588 → person_home_ownership_OWN <= 0.500 → loan_int_rate <= 0.645 → person_income > 0.017 → loan_intent_DEBTCONSOLIDATION <= 0.500 → person_income <= 0.046 → credit_score <= 0.527 → loan_intent_PERSONAL <= 0.500
22.0,1,89768.0,0,4000.0,6.99,0.04,4.0,675,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.0,135.0,0,0,0.0,0,0,previous_loan_defaults_on_file > 0.500
30.0,1,36886.0,6,10000.0,11.01,0.27,7.0,651,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.1935483870967742,81.375,0,1,0.0,1,1,previous_loan_defaults_on_file <= 0.500 → loan_percent_income > 0.371 → person_home_ownership_RENT > 0.500 → loan_percent_income > 0.386
44.0,0,47733.0,21,15000.0,10.98,0.31,12.0,682,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.4666666666666667,52.46153846153846,0,2,0.0,1,1,previous_loan_defaults_on_file <= 0.500 → loan_percent_income > 0.371 → person_home_ownership_RENT > 0.500 → loan_percent_income > 0.386
26.0,1,181398.0,5,12000.0,7.9,0.07,3.0,712,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.18518518518518517,178.0,0,1,181398.0,0,0,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate <= 0.588 → person_income > 0.007 → loan_int_rate <= 0.383 → person_income > 0.016 → loan_intent_VENTURE <= 0.500 → person_income > 0.027 → person_income <= 0.270 → credit_score > 0.277
30.0,1,70744.0,11,8400.0,12.98,0.12,8.0,672,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.3548387096774194,74.66666666666667,0,1,70744.0,0,0,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate <= 0.588 → person_income > 0.007 → loan_int_rate > 0.383 → person_income <= 0.027 → person_home_ownership_OWN <= 0.500 → loan_intent_HOMEIMPROVEMENT <= 0.500 → credit_score > 0.547 → person_income <= 0.026
23.0,0,66845.0,1,10000.0,7.51,0.15,3.0,660,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.041666666666666664,165.0,0,0,0.0,0,0,previous_loan_defaults_on_file > 0.500
29.0,1,41793.0,7,6400.0,6.0,0.15,8.0,653,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.23333333333333334,72.55555555555556,0,1,0.0,0,0,previous_loan_defaults_on_file > 0.500
25.0,1,71389.0,4,7500.0,15.37,0.11,4.0,672,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.15384615384615385,134.4,0,0,0.0,1,1,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate > 0.588 → person_home_ownership_OWN <= 0.500 → loan_int_rate > 0.645 → person_income <= 0.026 → loan_intent_EDUCATION <= 0.500 → loan_intent_VENTURE <= 0.500 → loan_intent_PERSONAL <= 0.500 → age_bin <= 0.875
23.0,0,51221.0,0,6000.0,5.42,0.12,2.0,545,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,181.66666666666666,0,0,0.0,0,0,previous_loan_defaults_on_file > 0.500
21.0,0,112428.0,0,9800.0,12.73,0.09,3.0,649,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,162.25,0,0,0.0,0,0,previous_loan_defaults_on_file > 0.500
25.0,0,65532.0,2,16000.0,11.94,0.24,4.0,630,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.07692307692307693,126.0,1,0,0.0,0,0,previous_loan_defaults_on_file > 0.500
26.0,0,65079.0,3,4000.0,6.76,0.06,3.0,629,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.1111111111111111,157.25,0,1,0.0,0,0,previous_loan_defaults_on_file > 0.500
30.0,0,85099.0,5,2000.0,10.65,0.02,9.0,654,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.16129032258064516,65.4,0,1,0.0,0,0,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate <= 0.588 → person_income > 0.007 → loan_int_rate <= 0.383 → person_income > 0.016 → loan_intent_VENTURE <= 0.500 → person_income > 0.027 → person_income <= 0.270 → credit_score > 0.277
24.0,1,24498.0,0,5000.0,13.0,0.2,3.0,643,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0.0,160.75,1,0,0.0,1,0,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate <= 0.588 → person_income <= 0.007 → loan_percent_income > 0.189 → person_income > 0.007 → person_gender > 0.500
38.0,0,23529.0,15,2500.0,11.86,0.11,16.0,673,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.38461538461538464,39.588235294117645,0,2,0.0,0,0,previous_loan_defaults_on_file > 0.500
24.0,1,151335.0,0,4800.0,6.76,0.03,3.0,568,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,142.0,0,0,0.0,0,0,previous_loan_defaults_on_file > 0.500
28.0,0,32298.0,6,12000.0,11.36,0.37,7.0,535,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.20689655172413793,66.875,1,1,0.0,1,0,previous_loan_defaults_on_file <= 0.500 → loan_percent_income > 0.371 → person_home_ownership_RENT <= 0.500 → person_income > 0.007 → loan_int_rate <= 0.594 → person_home_ownership_OWN <= 0.500 → loan_int_rate > 0.346 → credit_score <= 0.643 → loan_intent_HOMEIMPROVEMENT <= 0.500 → credit_score_per_year <= 0.658
26.0,0,144627.0,0,10000.0,5.99,0.07,4.0,604,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,120.8,0,1,0.0,0,0,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate <= 0.588 → person_income > 0.007 → loan_int_rate <= 0.383 → person_income > 0.016 → loan_intent_VENTURE > 0.500 → credit_score_per_year <= 0.589
25.0,0,39029.0,6,2500.0,16.45,0.06,2.0,622,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.23076923076923078,207.33333333333334,0,0,0.0,1,1,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate > 0.588 → person_home_ownership_OWN <= 0.500 → loan_int_rate > 0.645 → person_income <= 0.026 → loan_intent_EDUCATION <= 0.500 → loan_intent_VENTURE <= 0.500 → loan_intent_PERSONAL <= 0.500 → age_bin <= 0.875
24.0,1,90852.0,0,15000.0,11.01,0.17,2.0,576,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.0,192.0,0,0,0.0,0,0,previous_loan_defaults_on_file > 0.500
23.0,0,41180.0,1,4000.0,5.79,0.1,4.0,694,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.041666666666666664,138.8,0,0,0.0,0,0,previous_loan_defaults_on_file > 0.500
37.0,1,37955.0,18,4800.0,11.49,0.13,16.0,664,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.47368421052631576,39.05882352941177,1,2,0.0,0,0,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate <= 0.588 → person_income > 0.007 → loan_int_rate > 0.383 → person_income <= 0.027 → person_home_ownership_OWN <= 0.500 → loan_intent_HOMEIMPROVEMENT <= 0.500 → credit_score > 0.547 → person_income <= 0.026
32.0,1,49234.0,10,4000.0,13.49,0.08,8.0,689,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.30303030303030304,76.55555555555556,0,1,49234.0,0,0,previous_loan_defaults_on_file > 0.500
43.0,0,55044.0,19,7000.0,5.42,0.13,12.0,662,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0.4318181818181818,50.92307692307692,0,2,0.0,0,0,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate <= 0.588 → person_income > 0.007 → loan_int_rate <= 0.383 → person_income > 0.016 → loan_intent_VENTURE <= 0.500 → person_income <= 0.027 → credit_score > 0.588 → person_income <= 0.026
30.0,1,96316.0,10,6000.0,13.49,0.06,8.0,682,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.3225806451612903,75.77777777777777,0,1,0.0,0,0,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate <= 0.588 → person_income > 0.007 → loan_int_rate > 0.383 → person_income > 0.027 → credit_score > 0.463 → loan_intent_DEBTCONSOLIDATION <= 0.500 → loan_int_rate > 0.509 → person_income > 0.028
22.0,0,73001.0,0,15000.0,16.49,0.21,2.0,594,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,198.0,1,0,0.0,0,0,previous_loan_defaults_on_file > 0.500
25.0,1,80291.0,4,22000.0,11.78,0.27,4.0,632,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.15384615384615385,126.4,1,0,0.0,1,0,previous_loan_defaults_on_file <= 0.500 → loan_percent_income > 0.371 → person_home_ownership_RENT <= 0.500 → person_income > 0.007 → loan_int_rate <= 0.594 → person_home_ownership_OWN <= 0.500 → loan_int_rate > 0.346 → credit_score <= 0.643 → loan_intent_HOMEIMPROVEMENT <= 0.500 → credit_score_per_year <= 0.658
24.0,0,192816.0,0,12000.0,9.44,0.06,4.0,660,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,132.0,0,0,0.0,0,0,previous_loan_defaults_on_file > 0.500
29.0,1,44335.0,7,8000.0,6.76,0.18,8.0,656,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.23333333333333334,72.88888888888889,0,1,0.0,1,0,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate <= 0.588 → person_income > 0.007 → loan_int_rate <= 0.383 → person_income <= 0.016 → loan_intent_HOMEIMPROVEMENT <= 0.500 → credit_score > 0.582 → loan_intent_VENTURE <= 0.500 → credit_score_per_year > 0.039
28.0,0,90745.0,7,3000.0,7.9,0.03,8.0,546,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.2413793103448276,60.666666666666664,0,1,0.0,1,0,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate <= 0.588 → person_income > 0.007 → loan_int_rate <= 0.383 → person_income > 0.016 → loan_intent_VENTURE <= 0.500 → person_income > 0.027 → person_income <= 0.270 → credit_score > 0.277
27.0,0,49018.0,8,2500.0,15.65,0.05,8.0,676,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0.2857142857142857,75.11111111111111,0,1,0.0,1,1,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate > 0.588 → person_home_ownership_OWN <= 0.500 → loan_int_rate > 0.645 → person_income <= 0.026 → loan_intent_EDUCATION <= 0.500 → loan_intent_VENTURE <= 0.500 → loan_intent_PERSONAL <= 0.500 → age_bin <= 0.875
23.0,0,144913.0,2,10000.0,7.88,0.07,2.0,650,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.08333333333333333,216.66666666666666,0,0,0.0,0,0,previous_loan_defaults_on_file > 0.500
24.0,0,46702.0,0,8000.0,7.14,0.17,3.0,608,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,152.0,0,0,0.0,0,0,previous_loan_defaults_on_file > 0.500
33.0,1,77760.0,12,8500.0,13.23,0.11,8.0,694,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.35294117647058826,77.11111111111111,0,1,77760.0,0,0,previous_loan_defaults_on_file > 0.500
25.0,0,82807.0,1,15000.0,15.75,0.18,4.0,605,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.038461538461538464,121.0,1,0,0.0,1,1,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate > 0.588 → person_home_ownership_OWN <= 0.500 → loan_int_rate > 0.645 → person_income > 0.026 → loan_intent_DEBTCONSOLIDATION <= 0.500 → loan_intent_MEDICAL > 0.500 → loan_amnt > 0.206 → person_income > 0.027
27.0,0,94334.0,4,35000.0,17.27,0.37,5.0,615,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.14285714285714285,102.5,1,1,94334.0,1,0,previous_loan_defaults_on_file <= 0.500 → loan_percent_income > 0.371 → person_home_ownership_RENT <= 0.500 → person_income > 0.007 → loan_int_rate > 0.594 → loan_intent_MEDICAL <= 0.500 → loan_intent_DEBTCONSOLIDATION <= 0.500 → loan_int_rate > 0.731 → loan_amnt > 0.987
25.0,1,109219.0,5,1195.0,8.76,0.01,4.0,617,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.19230769230769232,123.4,0,0,0.0,0,0,previous_loan_defaults_on_file > 0.500
28.0,0,144976.0,8,4055.0,7.39,0.03,4.0,698,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.27586206896551724,139.6,0,1,0.0,0,0,previous_loan_defaults_on_file > 0.500
31.0,1,237155.0,6,3415.0,8.94,0.01,7.0,602,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.1875,75.25,0,1,0.0,0,0,previous_loan_defaults_on_file > 0.500
22.0,1,90443.0,0,7500.0,13.17,0.08,2.0,578,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.0,192.66666666666666,0,0,0.0,1,0,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate <= 0.588 → person_income > 0.007 → loan_int_rate > 0.383 → person_income > 0.027 → credit_score > 0.463 → loan_intent_DEBTCONSOLIDATION > 0.500 → credit_score <= 0.772 → loan_percent_income <= 0.205
32.0,1,53880.0,9,8000.0,10.3,0.15,10.0,661,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.2727272727272727,60.09090909090909,0,1,0.0,0,0,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate <= 0.588 → person_income > 0.007 → loan_int_rate <= 0.383 → person_income > 0.016 → loan_intent_VENTURE <= 0.500 → person_income <= 0.027 → credit_score > 0.588 → person_income <= 0.026
36.0,1,240917.0,13,25000.0,10.01,0.1,9.0,622,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.35135135135135137,62.2,0,2,0.0,0,0,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate <= 0.588 → person_income > 0.007 → loan_int_rate <= 0.383 → person_income > 0.016 → loan_intent_VENTURE <= 0.500 → person_income > 0.027 → person_income <= 0.270 → credit_score > 0.277
40.0,1,137915.0,18,6000.0,5.42,0.04,17.0,675,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.43902439024390244,37.5,0,2,0.0,0,0,previous_loan_defaults_on_file > 0.500
35.0,1,121109.0,11,11494.0,15.19,0.09,9.0,619,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.3055555555555556,61.9,0,1,0.0,1,1,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate > 0.588 → person_home_ownership_OWN <= 0.500 → loan_int_rate > 0.645 → person_income > 0.026 → loan_intent_DEBTCONSOLIDATION > 0.500 → cb_person_cred_hist_length <= 0.911 → person_income <= 0.047 → credit_score_per_year <= 0.853
30.0,1,51362.0,6,2250.0,8.88,0.04,8.0,694,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.1935483870967742,77.11111111111111,0,1,0.0,0,0,previous_loan_defaults_on_file > 0.500
24.0,0,29465.0,2,2000.0,11.01,0.07,3.0,666,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.08,166.5,0,0,29465.0,0,0,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate <= 0.588 → person_income > 0.007 → loan_int_rate > 0.383 → person_income <= 0.027 → person_home_ownership_OWN <= 0.500 → loan_intent_HOMEIMPROVEMENT <= 0.500 → credit_score > 0.547 → person_income <= 0.026
27.0,0,55125.0,4,18000.0,12.87,0.33,8.0,502,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.14285714285714285,55.77777777777778,1,1,0.0,0,0,previous_loan_defaults_on_file > 0.500
24.0,0,78812.0,2,12000.0,7.29,0.15,4.0,694,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.08,138.8,0,0,0.0,0,0,previous_loan_defaults_on_file > 0.500
29.0,0,24087.0,5,8120.0,8.06,0.34,9.0,549,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.16666666666666666,54.9,0,1,0.0,1,1,previous_loan_defaults_on_file <= 0.500 → loan_percent_income > 0.371 → person_home_ownership_RENT > 0.500 → loan_percent_income > 0.386
